Mes,Nom mes,Any,Motiu de la denúncia,Àmbit territorial,No ratificades,Ratificades,Total
3,març,2013,Sense especificar,Catalunya,,1,1
3,març,2013,Pèrdues i diversos,Catalunya,126,31,157
3,març,2013,Furt,Catalunya,305,92,397
3,març,2013,Furt interior vehicle,Catalunya,,1,1
3,març,2013,Robatori amb violència i/o intimidació,Catalunya,35,10,45
3,març,2013,Robatori amb força interior vehicle,Catalunya,35,16,51
3,març,2013,Robatori i furt d'ús de vehicle sense intimidació,Catalunya,19,5,24
3,març,2013,Danys,Catalunya,65,16,81
3,març,2013,Falta de furt,Catalunya,,17,17
4,abril,2013,Sense especificar,Catalunya,,1,1
4,abril,2013,Pèrdues i diversos,Catalunya,145,32,177
4,abril,2013,Furt,Catalunya,415,81,496
4,abril,2013,Robatori amb violència i/o intimidació,Catalunya,39,11,50
4,abril,2013,Robatori amb força interior vehicle,Catalunya,32,12,44
4,abril,2013,Robatori i furt d'ús de vehicle sense intimidació,Catalunya,22,7,29
4,abril,2013,Danys,Catalunya,90,11,101
4,abril,2013,Falta de furt,Catalunya,,11,11
4,abril,2013,Falta de danys,Catalunya,,2,2
5,maig,2013,Sense especificar,Catalunya,,2,2
5,maig,2013,Pèrdues i diversos,Catalunya,140,40,180
5,maig,2013,Furt,Catalunya,312,78,390
5,maig,2013,Robatori amb violència i/o intimidació,Catalunya,29,9,38
5,maig,2013,Robatori amb força interior vehicle,Catalunya,24,13,37
5,maig,2013,Robatori i furt d'ús de vehicle sense intimidació,Catalunya,10,10,20
5,maig,2013,Danys,Catalunya,91,18,109
5,maig,2013,Falta de furt,Catalunya,,26,26
5,maig,2013,Falta de danys,Catalunya,,5,5
6,juny,2013,Pèrdues i diversos,Catalunya,144,43,187
6,juny,2013,Furt,Catalunya,333,103,436
6,juny,2013,Furt interior vehicle,Catalunya,,1,1
6,juny,2013,Robatori amb violència i/o intimidació,Catalunya,39,15,54
6,juny,2013,Robatori amb força interior vehicle,Catalunya,30,12,42
6,juny,2013,Robatori i furt d'ús de vehicle sense intimidació,Catalunya,19,4,23
6,juny,2013,Danys,Catalunya,78,18,96
6,juny,2013,Falta de furt,Catalunya,,26,26
6,juny,2013,Falta de danys,Catalunya,,1,1
7,juliol,2013,Sense especificar,Catalunya,,1,1
7,juliol,2013,Pèrdues i diversos,Catalunya,183,49,232
7,juliol,2013,Furt,Catalunya,375,122,497
7,juliol,2013,Robatori amb violència i/o intimidació,Catalunya,45,21,66
7,juliol,2013,Robatori amb força interior vehicle,Catalunya,27,16,43
7,juliol,2013,Robatori i furt d'ús de vehicle sense intimidació,Catalunya,25,8,33
7,juliol,2013,Danys,Catalunya,78,28,106
7,juliol,2013,Falta de furt,Catalunya,,25,25
7,juliol,2013,Falta de danys,Catalunya,,3,3
8,agost,2013,Sense especificar,Catalunya,,1,1
